case_id,decision_class,thermal_drainage_ratio,thermal_pore_pressure_ratio,head_restraint_ratio,service_margin_index,max_TM_serviceability_ratio,max_THM_serviceability_ratio,tm_thm_decision_gap
434,Unsafe-Unsafe,1.2692357245818422,1.6262592646342064,0.5541866205257492,-0.307711010601625,1.02336840307582,1.307711010601625,0.28434260752580487
435,Safe-Safe,1.1034592502599574,1.6328175153113673,0.5142613839511275,0.11522086859369773,0.5063266522082589,0.8847791314063023,0.37845247919804337
436,False Safe,0.9798705929237783,1.6384523739361847,0.34839619040814557,-0.37170679743584834,0.7420832048741773,1.3717067974358483,0.629623592561671
437,Safe-Safe,1.1157496323222542,1.6322932118267628,0.5687509056034854,0.03837790460741952,0.4943587409885107,0.9616220953925805,0.4672633544040698
438,Unsafe-Unsafe,2.085224556081005,1.6065489964414843,0.4869674716460439,-0.24111490042239847,1.0588176261415894,1.2411149004223985,0.1822972742808091
439,Unsafe-Unsafe,2.2300203454899856,1.604254843177545,0.5253473352780752,-0.2525236136235658,1.0331978800335313,1.2525236136235658,0.2193257335900345
440,False Safe,2.9928699336026647,1.5953193902979916,0.4649054797710604,-0.3397171422793799,0.9464997821272481,1.3397171422793799,0.3932173601521318
441,False Safe,1.8962426706463036,1.609956029839405,0.5582987435950589,-0.20613920701127597,0.60577160931184,1.206139207011276,0.6003675976994359
442,Unsafe-Unsafe,6.443059871964133,1.5799831806386904,0.43493551335003494,-0.14293465531520022,1.0765440421331531,1.1429346553152002,0.06639061318204709
443,False Safe,2.5813015085782345,1.5995857585511248,0.5256672566572793,-0.3019524383350427,0.98197951239382,1.3019524383350427,0.31997292594122273
444,Safe-Safe,1.8829202137111913,1.6102162477535749,0.35429526325536925,0.08301521338449946,0.6612380350938366,0.9169847866155005,0.25574675152166393
445,Safe-Safe,2.910720893294757,1.5960876533305304,0.310820893805823,0.1615733162416707,0.5817391940111122,0.8384266837583293,0.2566874897472171
446,Unsafe-Unsafe,7.250345122528874,1.5784172810553152,0.2813931999795725,-0.21242875690079788,1.0427495252293049,1.2124287569007979,0.169679231671493
447,Unsafe-Unsafe,1.5393548922494784,1.6180558427607468,0.5408573898835557,-1.047450964484014,1.3965534636629762,2.047450964484014,0.6508975008210378
448,False Safe,5.723563532785983,1.5817267161432418,0.31079877298784153,-0.07270020757687923,0.992464159989185,1.0727002075768792,0.0802360475876942
449,False Safe,3.423625612800202,1.5918253232039117,0.25572181898733826,-0.026082453928413907,0.9226288898668427,1.026082453928414,0.10345356406157125
450,False Safe,0.9798079807763287,1.6384553981092063,0.2979565400343138,-0.1758697927930224,0.8349818234125077,1.1758697927930224,0.3408879693805147
451,Safe-Safe,1.5705530711808895,1.61724202390507,0.5644939955615484,0.12307064235465814,0.7098996723787674,0.8769293576453419,0.16702968526657447
452,False Safe,5.756687491115425,1.5816375062889496,0.5516246692989859,-0.06835685797281732,0.9164538957821236,1.0683568579728173,0.15190296219069377
453,False Safe,1.8919806570939637,1.6100389681920648,0.5486374887932803,-0.12304118439017397,0.6778503179827067,1.123041184390174,0.4451908664074673
454,Safe-Safe,3.1454492592813548,1.5939857050250303,0.4220931151761109,0.3508165027562026,0.5118015873049631,0.6491834972437974,0.13738190993883437
