scenario,civil_use,service_load_kN,head_stiffness_kN_per_m,allowable_settlement_mm,thermal_amplitude_C,serviceability_basis,head_restraint_ratio,initial_mechanical_settlement_mm,peak_abs_thermal_force_kN,peak_abs_pore_pressure_kPa,max_TM_settlement_mm,max_THM_settlement_mm,final_THM_settlement_mm,max_TM_serviceability_ratio,max_THM_serviceability_ratio,max_error_if_pore_pressure_ignored_percent,case_id,decision_class,tm_thm_decision_gap,thermal_drainage_ratio,thermal_pore_pressure_ratio,service_margin_index,thermal_factor,load_factor,head_stiffness_factor,vertical_stiffness_factor,serviceability_limit_factor,cv_factor,mv_factor,lambda_factor
Bridge abutment retrofit matrix 860,bridge abutment or approach foundation,3791.1227743668387,914216.4763088531,16.190248790374863,9.566147998302458,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5480261248801643,8.536404748324852,790.5497702793227,70.68774287528889,9.401134044684907,10.403442080797873,8.55908079301205,0.5806664348650344,0.6425745654373601,12.795100643644053,860,Safe-Safe,0.06190813057232569,7.706474104654155,1.5776704866065319,0.35742543456263987,1.1957684997878073,0.9026482796111521,1.6622117751070058,1.2336454170041526,1.0793499193583243,0.32764494896313906,0.8551957583913372,0.7395343847172996
Bridge abutment retrofit matrix 861,bridge abutment or approach foundation,2926.3967535876427,1014200.7908941718,17.31375774152195,6.611666535433679,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5735836024743731,6.453951430922774,571.8715979583826,47.77185852353292,7.01781571015903,12.179170503718966,6.468637183460218,0.40533174917475395,0.7034388886307916,43.24787133005497,861,Safe-Safe,0.2981071394560377,1.2585894443258816,1.6266485674280835,0.2965611113692084,0.8264583169292099,0.6967611318065816,1.8440014379894032,1.2595198396022842,1.1542505161014633,2.006204108963891,1.5594428806778597,0.7013505061104714
Bridge abutment retrofit matrix 862,bridge abutment or approach foundation,5665.322980894462,879519.616875856,14.593402444569051,5.451375318887967,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5384258455927305,17.95279303605396,442.61165059561677,43.227189435109494,18.45603553582653,20.737816629864255,17.965848507369316,1.2646835174956037,1.4210405495657288,11.823018485924512,862,Unsafe-Unsafe,0.15635703207012508,3.2821772627085815,1.592883440307036,-0.4210405495657288,0.6814219148609959,1.348886424022491,1.5991265761379199,0.8765771570283416,0.9728934963046034,0.7693025429776591,1.416980621145198,0.7860217655400196
Bridge abutment retrofit matrix 863,bridge abutment or approach foundation,2747.784586819428,433072.0882352186,17.633903162368764,9.029146208832959,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3648292071215144,7.252295991552286,496.737725054931,75.19816482298984,8.399305319904874,13.057856002936537,7.282133568478092,0.4763157221952553,0.7404972048844162,37.95399054868749,863,Safe-Safe,0.26418148268916086,2.4701687032488198,1.6009428481611785,0.25950279511558383,1.1286432761041199,0.6542344254331972,0.7874037967913066,1.0524577281840348,1.1755935441579175,1.0221922540692243,1.3693197187688497,0.8213956182030769
Bridge abutment retrofit matrix 864,bridge abutment or approach foundation,3716.925342718261,347717.3476603165,15.967957754620203,6.089388164938282,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3156190240474897,13.554873708870824,289.81955845052056,44.17506874062621,14.388365510187691,17.194780513147855,13.576432749446766,0.9010773782905663,1.076830285837441,17.230560245126018,864,False Safe,0.17575290754687467,1.0334303163618703,1.6359284987832665,-0.076830285837441,0.7611735206172853,0.8849822244567288,0.6322133593823936,0.7617033430495853,1.0645305169746802,2.44330679556047,0.8407972529754819,0.7001755009858815
Bridge abutment retrofit matrix 865,bridge abutment or approach foundation,4974.026433933571,418782.6966364082,16.755545482634624,7.927705769218248,stricter screening limit for bridge approach compatibility and differential-settlement control,0.35709005673227445,14.103773817098453,426.8901554720911,70.28927793781165,15.12313340119971,16.245540447318145,14.130215576400552,0.902574817207429,0.9695620154028978,9.392904636101944,865,Safe-Safe,0.06698719819546872,7.468912741473328,1.5780486201111046,0.03043798459710223,0.990963221152281,1.1842920080794217,0.7614230847934695,0.9796484454046934,1.1170363655089748,0.33806624901164417,0.974593538490455,0.8871332001860699
Bridge abutment retrofit matrix 866,bridge abutment or approach foundation,2841.694690476905,661190.0449311113,15.75433020790371,9.821050477557343,stricter screening limit for bridge approach compatibility and differential-settlement control,0.46721523127456427,9.083684171389368,691.9357897190354,135.18359703611412,10.130184788002747,20.392471378928857,9.110985251534698,0.6430095506644,1.294404212036781,51.21072557453211,866,False Safe,0.6513946613723809,1.6483264870200798,1.6153101649855852,-0.2944042120367809,1.2276313096946678,0.6765939739230726,1.2021637180565659,0.8689862189724838,1.050288680526914,1.531849020560212,1.2708005367495554,1.3454816610819678
Bridge abutment retrofit matrix 867,bridge abutment or approach foundation,2813.2352519832416,557102.3563745945,14.014280325039133,8.421344700571975,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4249171710572091,8.429207939185682,539.6057696636014,130.8293885119265,9.397801526143645,16.05861443712234,8.454451317764036,0.67058752273941,1.145875069191432,43.62938370116083,867,False Safe,0.47528754645202187,3.31442250995117,1.5926351978709754,-0.1458750691914319,1.0526680875714969,0.6698179171388671,1.0129133752265354,0.9270790829933011,0.9342853550026089,0.7618181771105468,1.3432401156284266,1.5401932352030032
Bridge abutment retrofit matrix 868,bridge abutment or approach foundation,4319.045485371902,741660.3147954027,14.271430039375115,6.873126124380018,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4958807262963678,17.136779492090966,513.9518114944991,70.29809259173318,17.82975416154767,18.773559819084944,17.15481203428962,1.2493319949265824,1.315464516680415,6.548603417515676,868,Unsafe-Unsafe,0.06613252175383266,7.278107025262869,1.5783692901469997,-0.3154645166804151,0.8591407655475023,1.0283441631837862,1.3484732996280049,0.7000935371791747,0.9514286692916744,0.34692912675517673,0.7743408186869516,1.0231710871989388
Bridge abutment retrofit matrix 869,bridge abutment or approach foundation,4687.582098236324,399018.6481698823,15.61937574718692,9.419963560456916,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3460696807348976,13.152263910417686,491.5906727457413,134.94174168440807,14.384263154063177,21.909812101021497,13.184211514271743,0.920924330580485,1.402732891227583,35.66987245454673,869,False Safe,0.481808560647098,2.2190883349746833,1.6044195540594839,-0.40273289122758293,1.1774954450571145,1.1160909757705533,0.7254884512179678,0.9900243389790884,1.041291716479128,1.1378489422477047,1.1301659521084186,1.409765232629202
